,WHAT IS YOUR GENDER?,Do you  have any basic knowledge about AI tools?,"Have you ever used any AI tools? (like chatgpt ,quillbot, bard etc)","Will the unemployment increase in the coming years due to AI modifications?
", In your opinion which AI tool is mostly used for learning purposes?,Have you personally used or experienced AI tools in an educational context?,Do you believe that AI has the potential to enhance the learning experience in education?,In which subjects do you think AI could be most beneficial in education?,"If you are a teacher or educator, do you think AI can assist in improving teaching methods and materials?","If you are a student, do you think AI can enhance your learning experience?",Have you personally benefited from AI tools in your education?,What are the potential challenges and risks of using AI in education?,Do the AI tools effect the students' minds?
2023/09/28 8:30:56 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 8:59:09 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:11:21 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Rather not have an opinion,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",prefer not to say,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:11:35 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:12:20 pm GMT+5,MALE,Very basic knowledge.,Yes,Rather not have an opinion,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Quantum Physics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 9:12:43 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,No idea,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:14:08 pm GMT+5,FEMALE,Very basic knowledge.,Yes,I have no idea.,ChatGPT,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 9:14:13 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:18:14 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,BARD,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:19:06 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Discrete Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:20:59 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will enhance the teaching capabilities of teachers.,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a Bad Effect based on their usage.
2023/09/28 9:22:19 pm GMT+5,FEMALE,"No, I have no idea.",No,I have no idea.,ChatGPT,I believe in natural thinking process so rather not use it.,It will enhance the teaching capabilities of teachers.,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,Rather not say
2023/09/28 9:25:15 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:25:30 pm GMT+5,Prefer not to say,"No, I have no idea.",No,Rather not have an opinion,No idea,"No, its usage is not my cup of tea.",,,I'm neither a teacher nor a educator,I have never used AI tools.,prefer not to say,If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 9:35:36 pm GMT+5,Prefer not to say,"Yes, I was taught about it growing up.",No,I have no idea.,QUILL BOT,Maybe in future if its trend keeps on going.,It will enhance the teaching capabilities of teachers.,Quantum Physics,To some extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 9:36:22 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",No,Depends on what kind of people are using it.,BARD,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:37:48 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:40:23 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",prefer not to say,They can reduce the usage of brain for good.,Rather not say
2023/09/28 9:40:45 pm GMT+5,MALE,Very basic knowledge.,No,Depends on what kind of people are using it.,BARD,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,To some extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:41:23 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will enhance the teaching capabilities of teachers.,Quantum Physics,Surely to a great extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:42:37 pm GMT+5,MALE,Very basic knowledge.,No,I have no idea.,No idea,Maybe in future if its trend keeps on going.,It will provide opportunities to more peers.,Quantum Physics,Surely to a great extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 9:42:46 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Quantum Physics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",prefer not to say,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:43:15 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Quantum Physics,Surely to a great extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 9:44:00 pm GMT+5,MALE,"Yes, I was taught about it growing up.",No,I have no idea.,No idea,"No, its usage is not my cup of tea.",It will provide opportunities to more peers.,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a Bad Effect based on their usage.
2023/09/28 9:45:16 pm GMT+5,MALE,"No, I have no idea.",Yes,Depends on the usage of AI.,QUILL BOT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.",prefer not to say,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:46:19 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,
2023/09/28 9:46:26 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Rather not have an opinion,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:47:29 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will provide opportunities to more peers.,Mathematics,To some extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:47:38 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,BARD,"No, its usage is not my cup of tea.",It will modify the way we learn..,Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:49:41 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,BARD,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,To some extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:50:11 pm GMT+5,FEMALE,"No, I have no idea.",No,I have no idea.,No idea,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Mathematics,To some extent,I have never used AI tools.,Yes it  gave me the ability to make my ideas more acceptable.,They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:50:50 pm GMT+5,Prefer not to say,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,I believe in natural thinking process so rather not use it.,It will modify the way we learn..,Mathematics,Surely to a great extent,It can help to produce effective ideas.,prefer not to say,They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
2023/09/28 9:51:16 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:51:33 pm GMT+5,FEMALE,"Yes, I was taught about it growing up.",Yes,I have no idea.,BARD,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,Rather not say
2023/09/28 9:51:37 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,BARD,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 9:51:45 pm GMT+5,MALE,Very basic knowledge.,No,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will enhance the teaching capabilities of teachers.,Mathematics,To some extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:51:50 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 9:52:09 pm GMT+5,MALE,Very basic knowledge.,Yes,I have no idea.,BARD,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,Rather not say
2023/09/28 9:52:52 pm GMT+5,FEMALE,Very basic knowledge.,No,I have no idea.,ChatGPT,"No, its usage is not my cup of tea.",It will provide opportunities to more peers.,Quantum Physics,To some extent,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,Rather not say
2023/09/28 9:53:01 pm GMT+5,FEMALE,Very basic knowledge.,Yes,I have no idea.,ChatGPT,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
2023/09/28 9:54:08 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,BARD,I believe in natural thinking process so rather not use it.,It will enhance the teaching capabilities of teachers.,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,Rather not say
2023/09/28 9:54:54 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,Surely to a great extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 9:57:19 pm GMT+5,MALE,Very basic knowledge.,Yes,I have no idea.,ChatGPT,"No, its usage is not my cup of tea.",It will provide opportunities to more peers.,Quantum Physics,To some extent,It can help to produce effective ideas.,prefer not to say,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 9:58:53 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,No idea,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 10:00:03 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",If AI is used for good purpose it can only have good impact.,Rather not say
2023/09/28 10:02:28 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,Maybe in future if its trend keeps on going.,,Discrete Mathematics,To some extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:03:05 pm GMT+5,FEMALE,"No, I have no idea.",No,I have no idea.,ChatGPT,I believe in natural thinking process so rather not use it.,It will provide opportunities to more peers.,Quantum Physics,Surely to a great extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 10:04:50 pm GMT+5,FEMALE,Very basic knowledge.,Yes,I have no idea.,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Discrete Mathematics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 10:06:20 pm GMT+5,MALE,Very basic knowledge.,No,Rather not have an opinion,ChatGPT,Maybe in future if its trend keeps on going.,It will provide opportunities to more peers.,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 10:09:04 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Rather not have an opinion,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Discrete Mathematics,To some extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 10:10:05 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,To some extent,It can help to produce effective ideas.,"Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:11:08 pm GMT+5,MALE,Very basic knowledge.,Yes,I have no idea.,No idea,"Yes, its very helpful.",It will modify the way we learn..,Quantum Physics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 10:12:51 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will enhance the teaching capabilities of teachers.,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:13:27 pm GMT+5,MALE,"Yes, I was taught about it growing up.",Yes,Depends on what kind of people are using it.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:15:40 pm GMT+5,FEMALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Quantum Physics,To some extent,It can help to produce effective ideas.,Yes it  gave me the ability to make my ideas more acceptable.,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 10:15:57 pm GMT+5,MALE,Very basic knowledge.,No,I have no idea.,ChatGPT,"Yes, its very helpful.",It will provide opportunities to more peers.,Discrete Mathematics,Surely to a great extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:16:51 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:21:41 pm GMT+5,Prefer not to say,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 10:23:56 pm GMT+5,MALE,Very basic knowledge.,No,Depends on the usage of AI.,ChatGPT,"Yes, its very helpful.",It will modify the way we learn..,Discrete Mathematics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 10:28:01 pm GMT+5,MALE,Very basic knowledge.,No,Depends on what kind of people are using it.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can have a bad effect on our thinking.,They can have a Bad Effect based on their usage.
2023/09/28 10:32:33 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,"No, its usage is not my cup of tea.",It will modify the way we learn..,Quantum Physics,To some extent,I have never used AI tools.,prefer not to say,They can reduce the usage of brain for good.,Rather not say
2023/09/28 10:37:09 pm GMT+5,MALE,Very basic knowledge.,No,Depends on what kind of people are using it.,ChatGPT,I believe in natural thinking process so rather not use it.,It will enhance the teaching capabilities of teachers.,Quantum Physics,To some extent,"Yes, it can be helpful in learning new concepts.","Yes, it has revolutionized the way i learn.",They can reduce the usage of brain for good.,They can have a good Effect based on their usage.
2023/09/28 10:38:32 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on the usage of AI.,ChatGPT,Maybe in future if its trend keeps on going.,It will modify the way we learn..,Quantum Physics,I'm neither a teacher nor a educator,"Yes, it can be helpful in learning new concepts.",Yes it  gave me the ability to make my ideas more acceptable.,If AI is used for good purpose it can only have good impact.,They can have a good Effect based on their usage.
2023/09/28 10:39:06 pm GMT+5,MALE,Very basic knowledge.,No,Depends on the usage of AI.,No idea,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,prefer not to say,They can reduce the usage of brain for good.,They can have a Bad Effect based on their usage.
2023/09/28 10:42:03 pm GMT+5,MALE,Very basic knowledge.,Yes,Depends on what kind of people are using it.,BARD,"Yes, its very helpful.",It will modify the way we learn..,Mathematics,I'm neither a teacher nor a educator,It can help to produce effective ideas.,prefer not to say,They can have a bad effect on our thinking.,They can have a good Effect based on their usage.
